,SURCHARGE,MATERIAL_NBR,PERIOD,COMMERCIAL_SALES_TERRITORY_CODE,SALES_TCFXACT,NET_QTY,COMMERCIAL_TEAM,COMMERCIAL_SUBREGION_DESC,COMPANY_CODE,COMMERCIAL_DISTRICT_DESCRIPTION,COMMERCIAL_AREA_DESCRIPTION,COMMERCIAL_COUNTRY_NAME,COMMERCIAL_AREA_CODE,COMMERCIAL_DISTRICT,GROSS_SALES,REGION_CODE,REGION_DESCRIPTION,CROP,COMMERCIAL_TEAM_DESCRIPTION,BASE_SALES,DISCOUNT,NET_SALES
0,5053.311857305022,11947192.0,2020,923.0,866.6327177410858,631.6916886437577,CT13,UNDEF CA,1318.0,CD-Canada,US and CA,Canadá,CA6,CD-CA,31513.949780036593,2,NAM,TOMATO,US&CA,26460.63792273157,3934.715024214308,27579.234755822286
1,3744.6094158824653,12502640.0,2022,923.0,-30561.19050507755,24.50044375924546,CT13,UNDEF CA,1318.0,CD-Canada,US&CA,Canada,CA6,CD-CA,26158.507145462798,2,NAM,SWEET CORN,US&CA,22413.897729580334,4424.7095518558235,21733.797593606974
2,2346.913893861498,11947192.0,2021,923.0,27128.52886614209,1198.988891811965,CT13,UNDEF CA,1318.0,CD-Canada,US and CA,Canadá,CA6,CD-CA,26782.343203420467,2,NAM,TOMATO,US&CA,24435.429309558967,4804.535337133562,21977.807866286905
3,3507.780297952792,12515444.0,2021,921.0,13872.1599794196,314.9821449653498,CT13,UNDEF US,3605.0,CD-USA,US and CA,USA,CA6,CD-US,25154.177859194366,2,NAM,TOMATO,US&CA,21646.397561241574,4503.714705895355,20650.46315329901
4,1515.4619327574853,,2020,922.0,3199.227007087298,1587.437073115562,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,13350.509659709005,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,11835.04772695152,2199.9591302904305,11150.550529418575
5,1608.9461701950365,,2021,922.0,4536.196548503511,105.5308103447808,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,15067.865061259512,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,13458.918891064475,3240.904970789203,11826.96009047031
6,4455.083936066343,,2020,217.0,-6078.373048363715,385.0110615765059,CT32,ANDEAN NORTH,4206.0,CD-Ecuador,ANDEAN NORTH,Ecuador,CA25,CD-EC,30039.377278092215,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,25584.29334202587,5374.076516049283,24665.300762042934
7,2395.2111731997084,,2022,202.0,6258.684168033458,716.2199017444359,CT32,ANDEAN NORTH,5183.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,14044.922390421756,4,SAM,LETTUCE,ANDEAN NORTH,11649.711217222048,1243.0304289102412,12801.891961511516
8,2877.512022185842,,2022,921.0,19385.19157549364,921.8299419359512,CT13,UNDEF US,5183.0,CD-USA,US&CA,USA,CA6,CD-US,23339.860121323774,2,NAM,OTHER VEGETABLE SEED,US&CA,20462.348099137933,4030.258291156637,19309.601830167136
9,1758.1704209827967,,2022,921.0,15885.39845219405,133.8692328263436,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,15383.622678826998,2,NAM,OTHER VEGETABLE SEED,US&CA,13625.452257844201,2102.738320246704,13280.884358580293
10,3387.996449776297,,2021,922.0,2538.482120375462,1350.96782090668,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,23119.530975990114,2,NAM,TOMATO,MX&CACAR,19731.534526213818,2572.099606045612,20547.4313699445
11,3404.9217505418233,,2021,922.0,22025.98982799094,807.7225081974816,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,20915.356618024838,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,17510.434867483014,3389.9772309603886,17525.37938706445
12,1620.3050578174134,,2021,922.0,-43.91450800475468,2172.879807466394,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,13572.682764253981,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,11952.377706436568,3025.175178903495,10547.507585350486
13,2780.1643868530364,,2021,922.0,-28620.24981877852,1061.673854129821,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,22893.74335876064,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,20113.578971907602,2507.8751323570223,20385.868226403618
14,1735.0479055450696,,2020,218.0,445.3256101365077,63.79709555916122,CT40,LAS,4206.0,CD-Uruguay,LAS,Uruguay,CA33,CD-UY,13164.518542299415,4,SAM,SQUASH,LAS,11429.470636754344,1328.0649711768128,11836.453571122602
15,3296.276998109178,,2020,921.0,947.4108898209852,316.6359672986982,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,28532.263907141496,2,NAM,OTHER VEGETABLE SEED,US&CA,25235.98690903232,3532.2018018545336,25000.06210528696
16,3997.029289949389,,2021,921.0,1305.638763154384,481.0222341536357,CT13,UNDEF US,5183.0,CD-USA,US and CA,USA,CA6,CD-US,30283.3493880569,2,NAM,OTHER VEGETABLE SEED,US&CA,26286.320098107513,4538.85234066018,25744.49704739672
17,2039.6974313822848,,2020,202.0,-28050.90181701141,709.5514156975597,CT32,ANDEAN NORTH,5183.0,CD-Peru,ANDEAN NORTH,Peru,CA25,CD-PE,21578.855432655844,4,SAM,OTHER VEGETABLE SEED,ANDEAN NORTH,19539.158001273558,3388.4720729358464,18190.38335972
18,4105.152019676306,,2020,922.0,26549.52309555075,489.015545384234,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,25485.206950311218,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,21380.054930634913,4502.253479437608,20982.95347087361
19,5972.760642795521,,2020,922.0,-2383.095816677494,330.2797291057226,CT14,UNDEF MX,4570.0,CD-Mexico,MX&CACAR,Mexico,CA7,CD-MX,34641.53815630295,2,NAM,OTHER VEGETABLE SEED,MX&CACAR,28668.777513507433,5988.419320716282,28653.11883558667
